合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000450	510050C1606M02250	50ETF购6月2250	50ETF(510050)	认购	2.250	10000	20160622	20160623	20160622	否	0.6387	0.1447	0.3917	否	否
10000451	510050C1606M02300	50ETF购6月2300	50ETF(510050)	认购	2.300	10000	20160622	20160623	20160622	否	0.6085	0.1145	0.3615	否	否
10000452	510050C1606M02350	50ETF购6月2350	50ETF(510050)	认购	2.350	10000	20160622	20160623	20160622	否	0.5810	0.0870	0.3340	否	否
10000453	510050C1606M02400	50ETF购6月2400	50ETF(510050)	认购	2.400	10000	20160622	20160623	20160622	否	0.5564	0.0624	0.3094	否	否
10000463	510050C1606M02450	50ETF购6月2450	50ETF(510050)	认购	2.450	10000	20160622	20160623	20160622	否	0.5320	0.0380	0.2850	否	否
10000464	510050C1606M02500	50ETF购6月2500	50ETF(510050)	认购	2.500	10000	20160622	20160623	20160622	否	0.5095	0.0185	0.2655	否	否
10000469	510050C1606M02550	50ETF购6月2550	50ETF(510050)	认购	2.550	10000	20160622	20160623	20160622	否	0.4838	0.0001	0.2448	否	否
10000473	510050C1606M02600	50ETF购6月2600	50ETF(510050)	认购	2.600	10000	20160622	20160623	20160622	否	0.4561	0.0001	0.2221	否	否
10000477	510050C1606M02650	50ETF购6月2650	50ETF(510050)	认购	2.650	10000	20160622	20160623	20160622	否	0.4305	0.0001	0.2015	否	否
10000438	510050P1511M02050	50ETF沽11月2050	50ETF(510050)	认沽	2.050	10000	20151125	20151126	20151125	否	0.1634	0.0001	0.0004	否	否
10000432	510050P1511M02100	50ETF沽11月2100	50ETF(510050)	认沽	2.100	10000	20151125	20151126	20151125	否	0.1738	0.0001	0.0008	否	否
10000433	510050P1511M02150	50ETF沽11月2150	50ETF(510050)	认沽	2.150	10000	20151125	20151126	20151125	否	0.1840	0.0001	0.0010	否	否
10000434	510050P1511M02200	50ETF沽11月2200	50ETF(510050)	认沽	2.200	10000	20151125	20151126	20151125	否	0.1945	0.0001	0.0015	否	否
10000435	510050P1511M02250	50ETF沽11月2250	50ETF(510050)	认沽	2.250	10000	20151125	20151126	20151125	否	0.2055	0.0001	0.0025	否	否
10000436	510050P1511M02300	50ETF沽11月2300	50ETF(510050)	认沽	2.300	10000	20151125	20151126	20151125	否	0.2176	0.0001	0.0046	否	否
10000443	510050P1511M02350	50ETF沽11月2350	50ETF(510050)	认沽	2.350	10000	20151125	20151126	20151125	否	0.2344	0.0001	0.0114	否	否
10000444	510050P1511M02400	50ETF沽11月2400	50ETF(510050)	认沽	2.400	10000	20151125	20151126	20151125	否	0.2579	0.0001	0.0249	否	否
10000448	510050P1511M02450	50ETF沽11月2450	50ETF(510050)	认沽	2.450	10000	20151125	20151126	20151125	否	0.2888	0.0001	0.0458	否	否
10000462	510050P1511M02500	50ETF沽11月2500	50ETF(510050)	认沽	2.500	10000	20151125	20151126	20151125	否	0.3208	0.0001	0.0738	否	否
10000468	510050P1511M02550	50ETF沽11月2550	50ETF(510050)	认沽	2.550	10000	20151125	20151126	20151125	否	0.3550	0.0001	0.1080	否	否
10000472	510050P1511M02600	50ETF沽11月2600	50ETF(510050)	认沽	2.600	10000	20151125	20151126	20151125	否	0.3965	0.0001	0.1495	否	否
10000476	510050P1511M02650	50ETF沽11月2650	50ETF(510050)	认沽	2.650	10000	20151125	20151126	20151125	否	0.4414	0.0001	0.1944	否	否
10000396	510050P1512M01800	50ETF沽12月1800	50ETF(510050)	认沽	1.800	10000	20151223	20151224	20151223	否	0.1156	0.0001	0.0026	否	否
10000397	510050P1512M01850	50ETF沽12月1850	50ETF(510050)	认沽	1.850	10000	20151223	20151224	20151223	否	0.1259	0.0001	0.0029	否	否
10000398	510050P1512M01900	50ETF沽12月1900	50ETF(510050)	认沽	1.900	10000	20151223	20151224	20151223	否	0.1365	0.0001	0.0035	否	否
10000369	510050P1512M01950	50ETF沽12月1950	50ETF(510050)	认沽	1.950	10000	20151223	20151224	20151223	否	0.1479	0.0001	0.0049	否	否
10000370	510050P1512M02000	50ETF沽12月2000	50ETF(510050)	认沽	2.000	10000	20151223	20151224	20151223	否	0.1597	0.0001	0.0067	否	否
10000371	510050P1512M02050	50ETF沽12月2050	50ETF(510050)	认沽	2.050	10000	20151223	20151224	20151223	否	0.1712	0.0001	0.0082	否	否
10000372	510050P1512M02100	50ETF沽12月2100	50ETF(510050)	认沽	2.100	10000	20151223	20151224	20151223	否	0.1845	0.0001	0.0115	否	否
10000343	510050P1512M02150	50ETF沽12月2150	50ETF(510050)	认沽	2.150	10000	20151223	20151224	20151223	否	0.1987	0.0001	0.0157	否	否
10000344	510050P1512M02200	50ETF沽12月2200	50ETF(510050)	认沽	2.200	10000	20151223	20151224	20151223	否	0.2149	0.0001	0.0219	否	否
10000332	510050P1512M02250	50ETF沽12月2250	50ETF(510050)	认沽	2.250	10000	20151223	20151224	20151223	否	0.2336	0.0001	0.0306	否	否
10000326	510050P1512M02300	50ETF沽12月2300	50ETF(510050)	认沽	2.300	10000	20151223	20151224	20151223	否	0.2566	0.0001	0.0436	否	否
10000320	510050P1512M02350	50ETF沽12月2350	50ETF(510050)	认沽	2.350	10000	20151223	20151224	20151223	否	0.2835	0.0001	0.0605	否	否
10000305	510050P1512M02400	50ETF沽12月2400	50ETF(510050)	认沽	2.400	10000	20151223	20151224	20151223	否	0.3157	0.0001	0.0827	否	否
10000306	510050P1512M02450	50ETF沽12月2450	50ETF(510050)	认沽	2.450	10000	20151223	20151224	20151223	否	0.3501	0.0001	0.1071	否	否
10000286	510050P1512M02500	50ETF沽12月2500	50ETF(510050)	认沽	2.500	10000	20151223	20151224	20151223	否	0.3813	0.0001	0.1343	否	否
10000280	510050P1512M02550	50ETF沽12月2550	50ETF(510050)	认沽	2.550	10000	20151223	20151224	20151223	否	0.4140	0.0001	0.1670	否	否
10000272	510050P1512M02600	50ETF沽12月2600	50ETF(510050)	认沽	2.600	10000	20151223	20151224	20151223	否	0.4496	0.0001	0.2026	否	否
10000273	510050P1512M02650	50ETF沽12月2650	50ETF(510050)	认沽	2.650	10000	20151223	20151224	20151223	否	0.4876	0.0001	0.2406	否	否
10000274	510050P1512M02700	50ETF沽12月2700	50ETF(510050)	认沽	2.700	10000	20151223	20151224	20151223	否	0.5285	0.0345	0.2815	否	否
10000239	510050P1512M02750	50ETF沽12月2750	50ETF(510050)	认沽	2.750	10000	20151223	20151224	20151223	否	0.5703	0.0763	0.3233	否	否
10000240	510050P1512M02800	50ETF沽12月2800	50ETF(510050)	认沽	2.800	10000	20151223	20151224	20151223	否	0.6113	0.1173	0.3643	否	否
10000206	510050P1512M02850	50ETF沽12月2850	50ETF(510050)	认沽	2.850	10000	20151223	20151224	20151223	否	0.6553	0.1613	0.4083	否	否
10000204	510050P1512M02900	50ETF沽12月2900	50ETF(510050)	认沽	2.900	10000	20151223	20151224	20151223	否	0.7052	0.2112	0.4582	否	否
10000202	510050P1512M02950	50ETF沽12月2950	50ETF(510050)	认沽	2.950	10000	20151223	20151224	20151223	否	0.7513	0.2573	0.5043	否	否
10000188	510050P1512M03000	50ETF沽12月3000	50ETF(510050)	认沽	3.000	10000	20151223	20151224	20151223	否	0.7947	0.3007	0.5477	否	否
10000189	510050P1512M03100	50ETF沽12月3100	50ETF(510050)	认沽	3.100	10000	20151223	20151224	20151223	否	0.8916	0.3976	0.6446	否	否
10000190	510050P1512M03200	50ETF沽12月3200	50ETF(510050)	认沽	3.200	10000	20151223	20151224	20151223	否	0.9895	0.4955	0.7425	否	否
